Oogstdatum,Oogstjaar,Perceel,Ras,Tonnen,Koeling of,Datum laatste bespuiting,Middel en dosering/ha,Veiligheidstermijn (dgn.),Opmerkingen
01-Oct,2013,2a,golden,21.9,koeling,23-Sep,"switsch 0,8kg",3,
02-Oct,2013,2a,golden,15.6,koeling,23-Sep,"switsch 0,8kg",3,
02-Oct,2013,2b,elstar,2.4,koeling,13-Sep,"captan 0,6kg",7,
03-Oct,2013,2a,golden,11.4,koeling,23-Sep,"switsch 0,8kg",3,
03-Oct,2013,2b,elstar,7.2,koeling,13-Sep,"captan 0,6kg",7,
04-Oct,2013,2a,golden,5.7,koeling,23-Sep,"switsch 0,8kg",3,
04-Oct,2013,2b,elstar,4.8,koeling,13-Sep,"captan 0,6kg",7,
04-Oct,2013,3,elstar,3.3,koeling,01-Sep,"captan 0,6kg",7,
05-Oct,2013,2a,golden,0.6,koeling,23-Sep,"switsch 0,8kg",3,
05-Oct,2013,2b,elstar,2.25,koeling,13-Sep,"captan 0,6kg",7,
05-Oct,2013,2a-2b-3,moes,2.4,afgezet,23-Sep,"switsch 0,8kg",3,
07-Oct,2013,5,junami,7.5,koeling,28-Sep,"switsch 0,8kg",3,
07-Oct,2013,3,elstar,6,koeling,01-Sep,"captan 0,6kg",7,
08-Oct,2013,3,elstar,8.4,koeling,01-Sep,"captan 0,6kg",7,
08-Oct,2013,4a,jonagored,3.6,koeling,23-Sep,"switsch 0,8kg",3,
09-Oct,2013,2b,elstar,4.2,koeling,13-Sep,"captan 0,6kg",7,
09-Oct,2013,2c,junami,4.2,koeling,28-Sep,"switsch 0,8kg",3,
09-Oct,2013,2b-2c-3-4a-5,moes,1.2,afgezet,28-Sep,"switsch 0,8kg",3,
14-Oct,2013,2c-5,junami,13.8,koeling,28-Sep,"switsch 0,8kg",3,
15-Oct,2013,2c-5,junami,16.8,koeling,28-Sep,"switsch 0,8kg",3,
